F2
66.82 
65.07 
54.53 
36.32 
50.89 
58.63 
59.22 
68.22 
49.68 
44.19 
62.54 
42.35 
63.56 
54.43 
68.96 
66.00 
41.44 
59.80 
46.38 
48.27 
59.31 
66.70 
67.99 
63.08 
71.25 
79.05 
32.81 
50.85 
62.73 
65.79 
56.73 
33.89 
72.48 
67.90 
44.59 
43.87 
69.55 
67.50 
43.19 
49.56 
69.00 
45.40 
66.98 
60.96 
34.67 
65.93 
49.25 
43.07 
52.94 
59.32 
66.59 
67.55 
58.02 
55.84 
67.73 
60.51 
68.92 
56.79 
73.87 
64.52 
32.84 
53.80 
58.01 
46.52 
71.37 
63.97 
55.64 
61.95 
65.35 
43.65 
49.77 
33.77 
65.42 
61.43 
48.85 
73.51 
47.96 
50.32 
57.89 
56.26 
53.52 
57.32 
64.12 
64.75 
37.35 
54.95 
67.67 
63.85 
46.08 
56.92 
70.11 
72.84 
57.01 
58.36 
47.76 
48.61 
48.89 
57.01 
55.01 
38.93 
64.45 
54.45 
64.67 
53.19 
68.95 
67.38 
61.86 
69.04 
38.48 
49.19 
39.68 
61.74 
70.49 
71.18 
48.64 
67.19 
59.16 
63.78 
61.28 
75.04 
43.58 
60.34 
68.86 
46.82 
51.73 
59.21 
62.03 
48.83 
53.33 
57.86 
61.85 
38.56 
70.40 
74.15 
66.10 
59.56 
58.41 
62.43 
59.59 
72.09 
45.71 
46.99 
54.60 
49.07 
69.10 
76.58 
64.41 
76.40 
61.07 
48.24 
64.56 
48.51 
72.79 
71.91 
73.11 
53.72 
64.42 
59.79 
59.51 
72.61 
42.81 
57.57 
37.68 
45.81 
44.06 
30.23 
68.31 
39.63 
47.79 
68.72 
42.59 
38.86 
75.11 
54.27 
58.29 
57.78 
42.93 
40.21 
54.28 
72.03 
64.24 
60.01 
47.27 
76.06 
54.70 
61.16 
68.74 
72.22 
65.30 
62.30 
53.82 
60.99 
61.75 
52.80 
68.41 
51.38 
47.01 
63.05 
61.54 
45.04 
55.84 
55.16 
63.22 
57.75 
39.02 
59.17 
67.23 
61.99 
54.82 
69.41 
68.73 
50.29 
47.23 
62.32 
65.09 
55.12 
54.49 
66.03 
69.16 
51.11 
71.46 
65.51 
59.07 
46.48 
40.67 
54.90 
48.97 
54.82 
37.93 
54.89 
63.60 
55.17 
31.38 
85.01 
54.00 
48.01 
59.78 
68.14 
47.48 
60.92 
53.49 
69.76 
54.58 
42.22 
64.62 
55.49 
45.90 
73.95 
42.44 
44.51 
63.27 
68.39 
55.87 
70.30 
55.92 
45.14 
55.68 
40.53 
55.59 
44.80 
31.59 
34.20 
58.43 
33.13 
62.54 
68.81 
59.85 
68.29 
56.81 
47.43 
68.76 
71.34 
49.40 
65.79 
55.99 
66.13 
66.76 
40.59 
58.33 
65.61 
74.00 
58.52 
71.09 
71.50 
47.94 
67.79 
63.29 
47.61 
63.04 
65.31 
69.84 
60.37 
63.83 
39.30 
66.28 
65.29 
65.69 
54.72 
55.28 
51.67 
62.71 
67.09 
47.80 
35.33 
64.40 
57.84 
52.75 
64.13 
66.32 
56.91 
72.60 
77.47 
62.65 
57.90 
47.52 
57.80 
66.20 
53.77 
63.76 
65.67 
