B12,B22
41.39,40.98
36.61,38.28
38.78,39.47
40.69,39.2
38.96,39.29
38.99,39.36
38.61,37.91
40.08,38.8
36.96,38.14
41.03,39.18
36.54,40.06
39.57,38.29
38.06,39.98
40.06,42.8
39.22,39.99
38.47,37.83
38.11,39.63
39.75,38.52
38.78,40.97
36.65,38.29
36.17,37.53
38.32,39.89
37.4,36.64
41.14,36.84
37.65,38.19
36.34,38.81
39.4,35.85
39.97,40.14
39.72,38.17
38.48,36.98
38.79,41.88
37.08,38.86
40.91,38.31
39.75,38.11
37.76,41.38
38.9,40.91
41.72,38.4
40.9,39.65
38.67,38.31
37.55,38.48
35.33,40.63
41.04,41.26
39.22,39.85
39.33,39.5
38.59,38.7
37,39.06
38.61,37.82
35.66,38.2
39.2,40.39
37.38,39.28
39.72,36.57
39.51,38.94
38.31,37.57
41.38,39.89
41.18,40.24
39.26,39.55
37.26,40.29
40.34,40.07
36.15,40.54
39.39,40.99
39.34,39.8
40.6,40.15
40.36,41.48
41.35,40.92
37.82,40.67
39.79,38.54
37.7,39.25
39.43,42.5
38.45,38.78
41.28,41.29
40.47,36.17
39.7,37.89
37.4,35.79
38.8,39.57
39.1,39.07
40.54,39.2
39.6,41.15
40.91,37.76
38.85,41.04
39.45,38.04
40.76,39.68
40,39.54
37.29,42.51
39.21,36.27
38.97,38.72
39.11,39.02
40.39,39.75
38.7,38.49
41.15,40.01
39.54,40.68
39.68,40.57
39.51,38.58
38.73,37.92
38.47,38.78
39.9,36.83
37.48,39.35
38.77,37.93
41.1,39.82
39.33,40.33
39.17,41.33
37.57,39.29
39.72,39.97
39.87,39.93
37.81,37.51
38.79,40.75
40.22,40.54
39.41,37.03
37.33,39.83
35.97,38.16
37.36,36.6
38.86,40.64
37.56,38.43
39.4,37.57
39.12,37.9
38.9,37.76
40.04,38.1
38.74,40.6
38.54,38.62
39.31,38.93
42.32,
