BIL
22.32 
22.49 
22.74 
20.39 
22.78 
23.25 
21.76 
23.22 
21.95 
23.26 
23.05 
23.34 
23.74 
24.26 
24.04 
24.50 
23.87 
24.11 
22.85 
23.91 
27.22 
25.86 
25.16 
27.73 
26.90 
27.02 
33.14 
30.57 
28.76 
31.99 
31.03 
30.60 
32.39 
32.73 
34.17 
34.17 
33.50 
34.17 
34.06 
34.53 
33.48 
34.05 
35.77 
34.95 
33.12 
34.95 
35.38 
34.42 
32.98 
34.30 
32.31 
34.78 
35.10 
34.74 
35.12 
35.31 
34.43 
32.22 
33.57 
34.92 
34.22 
37.07 
37.42 
35.52 
36.24 
36.04 
35.99 
36.45 
35.97 
33.35 
36.75 
36.83 
36.76 
33.85 
35.74 
35.13 
37.59 
36.02 
34.46 
34.96 
35.86 
38.08 
36.68 
37.37 
37.69 
35.47 
35.89 
37.36 
35.88 
36.92 
36.24 
35.97 
38.28 
35.95 
36.91 
36.15 
36.36 
34.23 
38.21 
38.10 
38.58 
37.68 
40.05 
38.96 
37.93 
37.81 
37.80 
38.96 
38.25 
38.26 
38.40 
38.84 
38.39 
38.70 
37.20 
38.37 
38.83 
38.74 
37.35 
38.63 
