DH
78.41 
78.41 
76.30 
75.46 
75.24 
74.43 
74.40 
73.74 
72.63 
72.06 
71.84 
71.84 
71.70 
71.68 
71.15 
70.95 
70.70 
70.16 
69.89 
69.86 
69.73 
69.72 
69.66 
69.63 
69.40 
69.38 
69.15 
69.09 
69.00 
69.00 
68.74 
68.61 
68.54 
68.53 
68.44 
68.24 
68.17 
68.13 
68.12 
68.08 
67.99 
67.78 
67.77 
67.64 
67.61 
67.47 
67.32 
67.23 
67.17 
67.17 
67.02 
66.94 
66.85 
66.78 
66.78 
66.68 
66.64 
66.48 
66.25 
66.25 
66.24 
66.21 
66.07 
65.94 
65.85 
65.72 
65.57 
65.48 
65.47 
65.46 
65.08 
65.02 
65.01 
64.74 
64.67 
64.55 
64.50 
64.09 
64.08 
64.07 
63.96 
63.91 
63.89 
63.87 
63.66 
63.65 
63.61 
63.58 
63.48 
63.36 
63.35 
63.34 
63.26 
63.15 
63.11 
62.88 
62.81 
62.74 
62.48 
62.34 
62.33 
62.03 
61.96 
61.94 
61.90 
61.72 
61.66 
61.66 
61.65 
61.46 
61.45 
61.30 
61.30 
61.23 
61.06 
60.98 
60.94 
60.87 
60.49 
60.48 
60.32 
60.23 
60.19 
60.15 
60.15 
60.15 
60.14 
59.80 
59.50 
59.39 
59.37 
59.29 
59.28 
59.10 
59.09 
59.07 
59.02 
58.97 
58.75 
58.54 
58.47 
58.22 
58.12 
58.06 
57.82 
57.82 
57.72 
57.54 
57.37 
57.26 
57.14 
56.78 
56.66 
56.26 
56.19 
56.11 
55.95 
55.93 
55.89 
55.80 
55.74 
55.73 
55.54 
54.99 
54.99 
54.75 
54.73 
54.70 
54.59 
54.53 
54.39 
54.31 
54.28 
54.25 
54.20 
54.16 
54.14 
53.86 
53.85 
53.79 
53.40 
53.11 
52.98 
52.77 
52.60 
52.36 
52.30 
52.11 
51.75 
51.47 
51.20 
51.17 
51.16 
51.04 
50.78 
50.74 
50.01 
49.24 
48.53 
47.85 
45.15 
