P1,P2,F1,F2,B1,B2
56.33,74.21,62.2,55.19,60.83,58.79
58.96,85.3,54.02,57.64,57.84,64.58
62.93,79.95,52.72,53.24,56.45,62.86
55.97,82.56,55.47,50.58,55.06,60.96
59.28,81.12,51.4,47.03,53.64,70.42
59.45,75.86,55.69,58.71,56.89,56.8
65.56,82.47,53.08,54.78,67.26,51.23
57.67,77.58,58.81,48.04,57.72,74.88
62.68,76.81,51.85,53.71,54.9,67.86
61.5,76.31,48.26,69.15,60.2,60.66
64.64,79.99,51.25,67.5,57.77,60.72
59.39,77.62,56.69,55.78,63.99,60.88
58.49,78.84,49.29,48.14,44.76,63.86
58.16,76.76,56.85,49.85,69.56,61.35
62.07,78.42,56.03,50.92,61.03,72.43
58.48,82.27,51.53,61.83,64.76,57.68
60.55,78.63,53.46,69.86,55.35,52.32
63.04,80.78,54.4,62.69,63.39,50.01
63.01,78.61,54.83,55.06,52.85,47.67
58.46,76.27,57.1,57.55,58.52,56.02
59.15,86.46,58.78,61.82,54.32,58.39
60.23,77.1,54.19,58.16,63.07,58.5
59.61,83.18,54.16,51.31,56.43,51.76
61.09,77.2,54.17,59.41,58.81,64.94
56.21,78.36,52.27,56.14,56.05,54.72
63.14,78.82,56.49,45.71,56.76,46.99
61.39,77.94,62.5,58.62,69.68,66.07
55.1,80.5,59.14,60.44,47.81,58.95
56.61,78.09,51.62,56.17,65.89,62.03
62.25,78.76,59.42,52.12,53.55,60.69
61.17,82.86,54.28,64.29,76.66,61.18
58.8,79.68,60.56,62.43,48.84,49.68
58.17,77.9,56.31,55.81,59.52,56.27
62.78,80.32,48.8,44.76,59.32,60.01
54.79,83.97,52.64,56.42,52.47,58.58
67.67,80.63,54.02,55.63,62.69,65.49
58.9,79.22,58.63,56.84,63.45,57.74
56.68,78.71,60.53,55.78,54.35,51.17
53.4,79.87,53.6,55.24,53.79,53.03
61.84,77.55,53.06,40.56,50.05,59.91
57.07,84.78,53.66,55.61,47.95,66.3
61.43,76.84,58.68,59.44,60.77,54.09
59.54,74.91,53.26,58.68,64.1,55.13
62.19,79.8,52.34,67.9,62.86,57.22
56.73,81.82,55.03,52.73,51.63,53.04
59.26,77.04,55.54,70.34,67.58,51.97
60.19,78.71,56.59,60.12,61.95,60.99
60.5,77.87,54.73,56.04,58.86,68.95
59.34,83.09,57.09,50.75,61.59,55.97
63.45,81.14,53.35,67.76,63.04,66.19
,,,58.55,59.89,58
,,,65.1,67.6,58.35
,,,64.31,57.64,58.72
,,,43.27,61.35,56.94
,,,57.78,56.68,62.76
,,,62.31,55.07,52.67
,,,56.72,53.88,66.55
,,,44.32,56.39,75.94
,,,59.99,52.56,60.05
,,,53.05,71.37,66.35
,,,54.26,60.05,61.4
,,,53.77,59.99,60.16
,,,54.09,66.13,55.3
,,,55.4,59.64,56.08
,,,64.79,56.7,62.91
,,,52.01,54.9,58.27
,,,62.44,57.81,62.05
,,,56.11,46.14,71.05
,,,48.19,59.03,69.88
,,,58.28,59,47.07
,,,62.54,56.48,56.35
,,,55,57.28,48.32
,,,58.8,53.52,64.11
,,,56.32,61.46,60.94
,,,61.31,51.82,72.27
,,,42.8,60.89,53.86
,,,57.32,59.9,60.39
,,,56.38,54.47,62.44
,,,56.43,61.46,73.67
,,,54.72,56.01,64.42
,,,54.69,64.06,56.45
